struct_id_2015,structure_id_2023,match_distance_deg
800694,803502,4.7314619092959096e-05
800695,809793,1.162729248253429e-05
800696,813082,5.526981989942344e-05
800697,814638,1.1595303958028757e-05
800698,801841,5.617326507425248e-05
800699,814638,1.871924567353019e-06
800701,815856,2.7422691397392497e-05
800702,812985,3.9806617975269405e-05
800703,812985,1.3703787528239504e-05
800704,813045,3.149988913262223e-05
800705,801883,3.3439502159049385e-05
800706,818947,4.3795077978138266e-05
800707,800963,1.9824364445836372e-05
800708,800131,5.072371186677879e-05
800709,800131,4.978511903273114e-05
800710,812974,3.1083219599705694e-06
800711,808794,3.59207553664919e-05
800712,801393,1.4282364700755474e-05
800713,818488,2.8566687561751898e-05
800714,816231,3.4883568278284725e-06
800715,816232,3.4223027900158e-05
800716,803265,7.78055112495573e-06
800719,809916,3.444054524149791e-05
800720,808278,2.4148193123546977e-05
800725,801123,6.127196244429591e-06
800726,813081,2.4743649320804027e-05
800727,811575,2.2304575897672753e-05
800728,805202,4.1028453010802215e-06
800729,817635,4.623819244322565e-05
800730,817472,3.989757254836222e-05
800731,803889,3.553465586398718e-05
800732,816248,4.304952141019386e-05
800733,806611,4.320909021555224e-05
800734,806978,5.2301184384411825e-06
800735,808170,4.828282246334984e-05
800736,811923,3.594978094096967e-05
800737,819107,4.009389088251911e-05
800738,811924,1.2264672082587077e-06
800739,819108,3.987832990758363e-06
800740,816312,2.1877123709704902e-05
800741,806183,4.199807499682895e-05
800742,809106,3.400400701840516e-06
800743,810923,1.6248633031780396e-06
800744,811424,1.6248251935077253e-05
800745,818861,2.296038231487498e-05
800746,804579,1.1226321897146256e-05
